Month,Year,Quarter,Department,Account,Account_Type,Budget,Actual,Variance,Variance_Pct,Currency
January,2024,Q1,Sales,Revenue,Income,850000000,920000000,70000000,8.24,IDR
January,2024,Q1,Sales,COGS,Expense,510000000,532000000,-22000000,-4.31,IDR
January,2024,Q1,Marketing,Advertising,Expense,80000000,95000000,-15000000,-18.75,IDR
January,2024,Q1,Marketing,Events,Expense,40000000,35000000,5000000,12.50,IDR
January,2024,Q1,Operations,Salaries,Expense,200000000,200000000,0,0.00,IDR
January,2024,Q1,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
January,2024,Q1,Operations,Utilities,Expense,15000000,17500000,-2500000,-16.67,IDR
January,2024,Q1,IT,Software,Expense,25000000,22000000,3000000,12.00,IDR
January,2024,Q1,IT,Hardware,Expense,30000000,28000000,2000000,6.67,IDR
January,2024,Q1,HR,Training,Expense,20000000,18000000,2000000,10.00,IDR
February,2024,Q1,Sales,Revenue,Income,880000000,865000000,-15000000,-1.70,IDR
February,2024,Q1,Sales,COGS,Expense,528000000,510000000,18000000,3.41,IDR
February,2024,Q1,Marketing,Advertising,Expense,80000000,88000000,-8000000,-10.00,IDR
February,2024,Q1,Marketing,Events,Expense,40000000,42000000,-2000000,-5.00,IDR
February,2024,Q1,Operations,Salaries,Expense,200000000,200000000,0,0.00,IDR
February,2024,Q1,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
February,2024,Q1,Operations,Utilities,Expense,15000000,14500000,500000,3.33,IDR
February,2024,Q1,IT,Software,Expense,25000000,25000000,0,0.00,IDR
February,2024,Q1,IT,Hardware,Expense,30000000,15000000,15000000,50.00,IDR
February,2024,Q1,HR,Training,Expense,20000000,20000000,0,0.00,IDR
March,2024,Q1,Sales,Revenue,Income,900000000,985000000,85000000,9.44,IDR
March,2024,Q1,Sales,COGS,Expense,540000000,565000000,-25000000,-4.63,IDR
March,2024,Q1,Marketing,Advertising,Expense,80000000,110000000,-30000000,-37.50,IDR
March,2024,Q1,Marketing,Events,Expense,60000000,58000000,2000000,3.33,IDR
March,2024,Q1,Operations,Salaries,Expense,200000000,205000000,-5000000,-2.50,IDR
March,2024,Q1,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
March,2024,Q1,Operations,Utilities,Expense,15000000,16000000,-1000000,-6.67,IDR
March,2024,Q1,IT,Software,Expense,25000000,23000000,2000000,8.00,IDR
March,2024,Q1,IT,Hardware,Expense,30000000,45000000,-15000000,-50.00,IDR
March,2024,Q1,HR,Training,Expense,20000000,19000000,1000000,5.00,IDR
April,2024,Q2,Sales,Revenue,Income,950000000,1020000000,70000000,7.37,IDR
April,2024,Q2,Sales,COGS,Expense,570000000,590000000,-20000000,-3.51,IDR
April,2024,Q2,Marketing,Advertising,Expense,90000000,98000000,-8000000,-8.89,IDR
April,2024,Q2,Marketing,Events,Expense,50000000,45000000,5000000,10.00,IDR
April,2024,Q2,Operations,Salaries,Expense,210000000,210000000,0,0.00,IDR
April,2024,Q2,Operations,Rent,Expense,45000000,45000000,0,0.00,IDR
April,2024,Q2,Operations,Utilities,Expense,15000000,18000000,-3000000,-20.00,IDR
